rank,id,x_m,y_m,z_m,downlink_mean_dbm,uplink_mean_dbm,downlink_above_minus_100_fraction,uplink_above_minus_100_fraction,downlink_above_minus_120_fraction,uplink_above_minus_120_fraction
1,bs_08,-10,14,7.248836,-124.895,-139.895,0.609848,0.609141,0.609848,0.609848
2,bs_12,-13,17,7.248836,-125.731,-140.731,0.606616,0.605707,0.606717,0.606616
3,bs_03,-10,11,7.248836,-126.781,-141.781,0.599899,0.599192,0.600051,0.600000
4,bs_13,-10,17,7.248836,-129.422,-144.422,0.589242,0.588535,0.589495,0.589242
5,bs_14,-7,17,7.248836,-129.597,-144.597,0.588990,0.587374,0.589242,0.589242
6,bs_18,-10,20,7.248836,-129.727,-144.727,0.586616,0.585303,0.586818,0.586616
7,bs_06,-16,14,7.248836,-138.120,-153.120,0.548232,0.547576,0.548434,0.548333
8,bs_11,-16,17,7.248836,-138.302,-153.302,0.547071,0.546566,0.547222,0.547172
9,bs_07,-13,14,7.248836,-138.767,-153.767,0.546818,0.546616,0.546818,0.546818
10,bs_01,-16,11,7.248836,-138.495,-153.495,0.545253,0.545051,0.545303,0.545253
11,bs_16,-16,20,7.248836,-139.648,-154.648,0.540404,0.539798,0.540505,0.540505
12,bs_09,-7,14,7.248836,-140.389,-155.389,0.538434,0.538030,0.538434,0.538434
13,bs_02,-13,11,7.248836,-140.569,-155.569,0.535960,0.535253,0.535960,0.535960
14,bs_04,-7,11,7.248836,-144.768,-159.768,0.515960,0.515202,0.516010,0.516010
15,bs_05,-4,11,7.248836,-147.141,-162.141,0.507121,0.506616,0.507121,0.507121
16,bs_10,-4,14,7.248836,-147.277,-162.277,0.506465,0.505505,0.506616,0.506566
17,bs_15,-4,17,7.248836,-148.747,-163.747,0.500000,0.499091,0.500101,0.500101
18,bs_20,-4,20,7.248836,-154.103,-169.103,0.472980,0.471818,0.473232,0.472980
19,bs_19,-7,20,7.248836,-160.444,-175.444,0.445909,0.445404,0.445909,0.445909
20,bs_17,-13,20,7.248836,-161.770,-176.770,0.444596,0.443586,0.444596,0.444596
